t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
2.34,140.4,152.592,60,56.9007,0,0.986461,90.2842,89.1376,27.068,28.2036,-9.8,-6.53003
2.35,141,150.379,60,70.4706,0,5.32245,90.5549,94.427,26.97,23.1237,-9.8,-12.7907
2.36,141.6,140.536,60,66.5953,0,0.530723,90.8246,95.1416,26.872,23.2226,-9.8,-7.985
2.37,142.2,137.114,60,57.0006,0,-10.0893,91.0933,94.7767,26.774,16.4348,-9.8,-10.7195
2.38,142.8,139.946,60,67.982,0,-2.17134,91.3611,93.8367,26.676,26.1104,-9.8,-9.23955
2.39,143.4,148.715,60,64.009,0,-12.4558,91.6278,93.9549,26.578,17.8329,-9.8,-3.0117
2.4,144,146.426,60,62.9237,0,-4.60749,91.8936,83.4148,26.48,34.8696,-9.8,-8.8794
2.41,144.6,145.222,60,61.2924,0,-0.290044,92.1584,81.6667,26.382,26.8886,-9.8,-5.54931
2.42,145.2,141.725,60,60.5397,0,1.27823,92.4222,91.7327,26.284,25.4492,-9.8,-13.5124
2.43,145.8,153.587,60,60.5338,0,2.31958,92.6851,88.2377,26.186,21.331,-9.8,-10.3438
